category,layer,expert,log2_ratio,cat_frac,overall_frac
code,44,21,1.987,0.10083,0.02543
code,6,40,1.985,0.09683,0.02446
code,30,40,1.980,0.09830,0.02493
code,18,40,1.978,0.09694,0.02460
code,16,64,1.965,0.08986,0.02301
code,40,67,1.938,0.07662,0.02000
code,33,54,1.938,0.07525,0.01965
code,28,67,1.937,0.07384,0.01928
code,39,113,1.935,0.07295,0.01907
code,37,70,1.930,0.07004,0.01838
code,29,91,1.925,0.08143,0.02144
code,41,91,1.925,0.06740,0.01775
code,27,42,1.922,0.06861,0.01811
code,41,71,1.912,0.06327,0.01681
code,30,80,1.910,0.06824,0.01815
code,36,82,1.909,0.06248,0.01664
code,17,91,1.906,0.07671,0.02047
code,4,36,1.905,0.06156,0.01644
code,31,85,1.899,0.06609,0.01772
code,29,71,1.898,0.06111,0.01640
code,15,42,1.894,0.06183,0.01664
code,28,64,1.890,0.06200,0.01673
code,19,85,1.887,0.06289,0.01700
code,27,113,1.887,0.05897,0.01594
code,45,100,1.883,0.06423,0.01741
code,33,27,1.874,0.07333,0.02000
code,29,23,1.869,0.05226,0.01431
code,9,54,1.868,0.05403,0.01480
code,21,54,1.865,0.05330,0.01464
code,24,82,1.863,0.05243,0.01441
knowledge,31,54,1.920,0.06571,0.01736
knowledge,43,3,1.919,0.07429,0.01965
knowledge,19,54,1.917,0.06468,0.01713
knowledge,7,54,1.891,0.05866,0.01581
knowledge,45,21,1.880,0.05627,0.01528
knowledge,15,67,1.868,0.05573,0.01527
knowledge,30,15,1.858,0.05008,0.01381
knowledge,27,67,1.857,0.05517,0.01523
knowledge,31,35,1.842,0.04730,0.01319
knowledge,21,119,1.841,0.05136,0.01434
knowledge,2,102,1.840,0.05157,0.01441
knowledge,33,119,1.830,0.04833,0.01360
knowledge,5,69,1.824,0.04639,0.01311
knowledge,18,15,1.817,0.04304,0.01221
knowledge,17,76,1.817,0.04519,0.01282
knowledge,9,119,1.814,0.04867,0.01384
knowledge,31,42,1.812,0.04368,0.01244
knowledge,32,112,1.811,0.04244,0.01210
knowledge,19,42,1.804,0.04249,0.01217
knowledge,16,66,1.801,0.07059,0.02025
knowledge,39,67,1.799,0.04605,0.01323
knowledge,7,42,1.797,0.04410,0.01269
knowledge,21,120,1.792,0.04043,0.01167
knowledge,29,76,1.792,0.04179,0.01207
knowledge,33,120,1.787,0.03947,0.01144
knowledge,18,106,1.785,0.05310,0.01541
knowledge,30,106,1.785,0.04787,0.01389
knowledge,28,66,1.782,0.06540,0.01902
knowledge,20,107,1.780,0.04128,0.01202
knowledge,45,78,1.774,0.03838,0.01122
language,28,115,1.866,0.10113,0.02775
language,20,37,1.845,0.09596,0.02671
language,18,89,1.816,0.04416,0.01254
language,14,110,1.813,0.06117,0.01741
language,32,37,1.808,0.08138,0.02324
language,9,0,1.782,0.08004,0.02327
language,30,89,1.763,0.03742,0.01103
language,21,0,1.753,0.08765,0.02600
language,33,0,1.746,0.06528,0.01946
language,26,110,1.684,0.08463,0.02634
language,20,5,1.672,0.05608,0.01760
language,16,115,1.660,0.12386,0.03920
language,6,89,1.654,0.02799,0.00889
language,8,37,1.645,0.06308,0.02016
language,17,68,1.623,0.02951,0.00958
language,40,115,1.622,0.07587,0.02465
language,29,68,1.617,0.02820,0.00920
language,38,110,1.602,0.05730,0.01887
language,17,6,1.565,0.02605,0.00880
language,30,94,1.562,0.02420,0.00819
language,5,81,1.559,0.02579,0.00875
language,30,34,1.557,0.07009,0.02382
language,18,94,1.528,0.02491,0.00864
language,2,61,1.527,0.02216,0.00769
language,28,127,1.517,0.02346,0.00820
language,19,106,1.516,0.05203,0.01819
language,19,73,1.516,0.05975,0.02089
language,31,106,1.503,0.05852,0.02065
language,21,49,1.488,0.11639,0.04149
language,19,26,1.486,0.02522,0.00901
math,18,16,1.940,0.08325,0.02170
math,16,22,1.940,0.07734,0.02016
math,30,16,1.935,0.07576,0.01981
math,28,22,1.935,0.07543,0.01972
math,7,27,1.891,0.08620,0.02324
math,30,99,1.886,0.06332,0.01713
math,6,16,1.884,0.07628,0.02066
math,27,30,1.881,0.06305,0.01712
math,15,30,1.878,0.06973,0.01897
math,18,99,1.876,0.06625,0.01805
math,14,89,1.875,0.06162,0.01680
math,6,99,1.856,0.06236,0.01722
math,31,27,1.850,0.08538,0.02369
math,27,9,1.835,0.05008,0.01403
math,33,116,1.825,0.05302,0.01497
math,19,27,1.818,0.08721,0.02473
math,21,116,1.810,0.05375,0.01533
math,42,12,1.805,0.04879,0.01396
math,36,113,1.787,0.04287,0.01242
math,39,30,1.782,0.04699,0.01367
math,15,9,1.780,0.04290,0.01249
math,40,22,1.775,0.03844,0.01123
math,39,9,1.758,0.04288,0.01268
math,26,89,1.752,0.03605,0.01071
math,9,116,1.741,0.04030,0.01206
math,19,86,1.706,0.03371,0.01033
math,24,113,1.693,0.04977,0.01539
math,25,4,1.687,0.03886,0.01207
math,22,99,1.672,0.04386,0.01376
math,22,46,1.648,0.05859,0.01870
neutral,34,64,2.668,0.06149,0.00967
neutral,22,64,2.658,0.05033,0.00797
neutral,29,106,2.601,0.08181,0.01348
neutral,39,1,2.561,0.04644,0.00787
neutral,20,95,2.530,0.05241,0.00908
neutral,24,42,2.521,0.06652,0.01159
neutral,15,1,2.507,0.04128,0.00726
neutral,32,95,2.506,0.05017,0.00883
neutral,17,106,2.479,0.07869,0.01411
neutral,36,42,2.455,0.05910,0.01078
neutral,10,64,2.433,0.04845,0.00897
neutral,25,10,2.412,0.03517,0.00661
neutral,27,1,2.392,0.03118,0.00594
neutral,21,80,2.391,0.04891,0.00932
neutral,46,22,2.386,0.04678,0.00895
neutral,38,39,2.381,0.04451,0.00854
neutral,20,86,2.381,0.05397,0.01036
neutral,30,110,2.362,0.07877,0.01533
neutral,24,87,2.347,0.03391,0.00666
neutral,18,110,2.338,0.06454,0.01276
neutral,36,76,2.328,0.04435,0.00883
neutral,29,102,2.320,0.03829,0.00767
neutral,42,123,2.319,0.06573,0.01317
neutral,26,6,2.307,0.06737,0.01362
neutral,12,87,2.295,0.04249,0.00866
neutral,23,0,2.292,0.02979,0.00608
neutral,25,101,2.275,0.05810,0.01201
neutral,8,95,2.273,0.03590,0.00742
neutral,26,34,2.269,0.04793,0.00994
neutral,30,86,2.264,0.05735,0.01194
